21.25558,51.94563;-13.1487,-48.07768
22.23855,47.6736;30.82459,-82.58186
24.4009,43.7302;53.13972,-91.9817
25.1896,38.25927;-6.397516,-90.82893
22.55123,33.39974;-62.3646,-76.2343
16.95376,30.15144;-108.4654,-43.36663
11.39448,26.36516;-84.96031,-72.78067
5.668824,20.26902;-100.5954,-115.7509
1.681452,15.09563;-49.76513,-71.78685
0.4706923,12.62205;-5.73774,-26.28051
1.665168,12.84468;32.4746,18.24997
5.106615,15.56642;69.59205,58.66774
8.019564,20.97571;38.29348,105.6053
10.58212,28.65717;44.89004,139.0527
11.39835,37.6405;-1.697019,154.9941
12.91405,44.88123;38.45054,103.9182
17.04676,49.56549;83.78588,65.47011
21.18408,52.51975;61.72388,41.31678
23.27423,56.68671;21.72941,83.25025
22.22645,61.73585;-36.62665,84.6496
18.2305,67.92168;-81.29833,112.1834
11.55582,68.19504;-125.8849,9.751843
2.666212,66.38541;-159.1082,-40.08452
-6.102667,61.83202;-139.852,-93.43224
-12.53002,54.79866;-91.13941,-128.8952
-16.09078,45.7958;-43.81026,-160.4463
-16.77352,35.16282;4.486848,-185.4795
-14.79999,26.05969;46.79519,-135.2294
-10.56641,20.01585;82.20201,-83.88741
-4.226225,16.84955;117.1944,-37.58001
3.400777,16.82359;132.026,17.73505
9.444454,19.57259;85.45303,59.56041
12.6941,24.60575;38.89147,95.8209
16.48239,28.39363;75.01714,47.18368
18.5628,30.47488;14.97736,28.56722
20.48596,34.15287;40.44172,77.38103
21.3301,40.37057;1.186161,116.5317
19.75428,48.69093;-39.70397,149.5721
16.03999,55.52306;-72.77805,96.43365
14.13993,58.80805;-23.79978,51.52089
12.1574,59.89327;-37.56984,1.810417
8.457838,58.29086;-73.51854,-40.67032
2.528305,54.40156;-111.2697,-76.67679
-4.320001,49.9985;-115.5835,-71.80082
-9.421151,46.0576;-70.09167,-62.70234
-11.79859,44.10521;-24.72784,-17.80025
-11.57725,44.71312;17.43448,23.71044
-8.953991,47.70186;56.62965,62.64209
-4.059718,52.92204;93.82465,98.97636
2.97882,56.98442;128.8421,52.43757
10.70017,57.7144;128.6602,-7.525799
